"機構名稱","機構代碼","機構種類","縣市","區","地址全址",經度,緯度,"O_ABC","特約服務項目","特約縣市","特約區域","機構電話","電子郵件","機構負責人姓名","特約起日","特約迄日","最後異動時間"
"衛生福利部旗山醫院居家式服務類長期照顧服務機構","1A1500001","1","64000","64000300","高雄市旗山區大德里東新街25巷8號5樓",120.4828491211,22.8799819946,"B","居家服務","64000","64000300;64000310;64000320;64000340;64000350;64000370","07-6613811#3609","swr@chis.mohw.gov.tw","張峻瑋","20240701","20261231","20240627 11:40:47"
"社團法人高雄市樂齡照顧關懷協會附設高雄市私立樂齡居家式服務類長期照顧服務機構","1R1500007","1","64000","64000190","高雄市岡山區竹圍里竹圍北街132巷17-1號2樓",120.3042984009,22.8016681671,"B","居家服務","64000","64000190;64000200;64000210;64000220;64000230;64000240;64000250;64000270;64000280;64000290","07-6216881","36964598iseeyou@gmail.com","謝彥緯","20210401","20221231","20210501 15:41:06"
"社團法人高雄市照顧技術推廣協會附設高雄市私立高雄照協居家式服務類長期照顧服務機構","1R1500009","1","64000","64000190","高雄市岡山區後紅里三民路38號",120.2984085083,22.7912101746,"B","營養餐飲服務","64000","64000190;64000210;64000230;64000240;64000250;64000260;64000290","07-6223939","kp2011699@gmail.com","丁麗寬","20180101","20240331","20240201 12:39:39"
"社團法人高雄市照顧技術推廣協會附設高雄市私立高雄照協居家式服務類長期照顧服務機構","1R1500009","1","64000","64000190","高雄市岡山區後紅里三民路38號",120.2984085083,22.7912101746,"B","居家服務","64000","64000030;64000040;64000190;64000200;64000210;64000220;64000230;64000240;64000250;64000260;64000270;64000280;64000290","07-6223939","kp2011699@gmail.com","丁麗寬","20230101","20240630","20231218 15:55:19"
"社團法人高雄長期照顧人員福利促進協會附設高雄市私立長促居家式服務類長期照顧服務機構","1R1500018","1","64000","64000140","高雄市大寮區中庄里鳳屏一路472號3樓",120.3480987549,22.6269512177,"B","居家服務","64000","64000010;64000020;64000030;64000040;64000050;64000060;64000070;64000080;64000090;64000110;64000120;64000130;64000140;64000150;64000160;64000170;64000180;64000190;64000200;64000210;64000290","07-7011607","wpmember@yahoo.com.tw","顏志評","20240701","20261231","20240626 11:49:52"
"財團法人高雄市私立典寶社會福利慈善事業基金會私立典寶居家長照機構","1S1500002","1","64000","64000050","高雄市三民區達德里博愛一路70號11樓",120.3032073975,22.6432609558,"B","居家服務","64000","64000020;64000030;64000040;64000050;64000060;64000070;64000080;64000160;64000170;64000180;64000190;64000200;64000210","07-3112600","dbhsc598@gmail.com","鄭嘉琳","20240701","20261231","20240626 14:20:09"
"財團法人高雄市私立典寶社會福利慈善事業基金會私立典寶居家長照機構","1S1500002","1","64000","64000050","高雄市三民區達德里博愛一路70號11樓",120.3032073975,22.6432609558,"B","喘息服務","64000","64000020;64000030;64000040;64000050;64000060;64000070;64000080;64000160;64000170;64000180;64000190;64000200;64000210","07-3112600","dbhsc598@gmail.com","鄭嘉琳","20210401","20240630","20231230 15:48:59"
"財團法人弘道老人福利基金會附設高雄市私立弘道居家式服務類長期照顧服務機構","1S1500005","1","64000","64000030","高雄市左營區新下里自由二路309號3樓",120.3081436157,22.6632423401,"B","喘息服務","64000","64000020;64000030;64000050","07-5563225","hondao.south@hondao.org.tw","王乃弘","20210401","20240630","20231230 17:48:04"
"財團法人弘道老人福利基金會附設高雄市私立弘道居家式服務類長期照顧服務機構","1S1500005","1","64000","64000030","高雄市左營區新下里自由二路309號3樓",120.3081436157,22.6632423401,"B","居家服務","64000","64000020;64000030;64000050;64000070","07-5563225","hondao.south@hondao.org.tw","王乃弘","20240701","20261231","20240630 15:55:20"
"財團法人高雄市郭吳麗珠社會福利慈善事業基金會附設高雄市私立財團法人高雄市郭吳麗珠社會福利慈善事業基金會居家式服務類長期照顧服務機構","1S1500010","1","64000","64000090","高雄市前鎮區民權里一心一路243號8樓之4",120.3151321411,22.6090545654,"B","居家服務","64000","64000050;64000060;64000070;64000080;64000090;64000110;64000120;64000140;64000150;64000180","07-3318505","daxin2@hibox.hinet.net","郭光皓","20230101","20240630","20231218 16:31:09"
