機構名稱,機構代碼,地址全址,特約服務項目,機構電話,電子郵件,機構負責人姓名,特約起日,特約迄日,最後異動時間
高雄市同愛社會福利關懷協會附設高雄市私立同愛居家式服務類長期照顧服務機構,1N1500001,高雄市新興區復橫一路242號2樓,居家服務,07-2155211,3800951@gmail.com,覃馨儀,20230101,20240630,20231218 16:36:49
新高雄紅十字會附設私立紅十字居家長照機構,1N1500003,高雄市鳳山區維新路122號10樓,居家服務,07-7902007,Ksred830@gmail.com,李宗銘,20240701,20261231,20240625 10:02:42
社團法人高雄市樂馨社會福利關懷協會附設高雄市私立樂馨居家式服務類長期照顧服務機構,1R1500003,高雄市三民區鼎泰里鼎和街5號1樓,喘息服務,07-3509593,lehsin0801@gmail.com,楊明樺,20240701,20261231,20240626 11:35:11
社團法人台灣福田社會福利發展協會附設高雄市私立福田居家式長期照顧服務機構,1R1500005,高雄市六龜區義寶里平和巷7號,喘息服務,07-6893357,fulltengp@gmail.com,張華庭,20240701,20261231,20240630 15:13:32
社團法人台灣福田社會福利發展協會附設高雄市私立福田居家式長期照顧服務機構,1R1500005,高雄市六龜區義寶里平和巷7號,營養餐飲服務,07-6893357,fulltengp@gmail.com,張華庭,20200101,20211231,20210105 09:35:01
高雄市立凱旋醫院社區式(日間照顧)服務類長期照顧服務機構,2B1500001,高雄市苓雅區奏捷里凱旋二路130號,社區式交通接送服務(BD03),07-7513171#2451,hyliu@kcg.gov.tw,周煌智,20180305,20261231,20240701 11:38:27
高雄榮民總醫院社區式(日間照顧)服務類長期照顧服務機構,2F1500002,高雄市左營區福山里大中一路386號,喘息服務,07-3422121#2536,joechen0426@vghks.gov.tw,陳金順,20240701,20261231,20240701 10:04:24
財團法人高雄市華仁社會福利慈善事業基金會附設高雄市私立華仁茄萣社區式長期照顧服務機構(失能身心障礙日間照顧中心),2S1500003,高雄市茄萣區嘉樂里濱海路三段69號,喘息服務,07-6930690,qieding.daycare@gmail.com,高華志,20180222,20261231,20240701 17:29:35
財團法人高雄市華仁社會福利慈善事業基金會附設高雄市私立華仁茄萣社區式長期照顧服務機構(失能身心障礙日間照顧中心),2S1500003,高雄市茄萣區嘉樂里濱海路三段69號,日間照顧服務,07-6930690,qieding.daycare@gmail.com,高華志,20210301,20270228,20240328 17:11:47
財團法人高雄市私立萃文書院社會福利慈善事業基金會私立內門社區(小規模多機能)長照機構,2S1500004,高雄市內門區內豊里內埔81之10號3樓,喘息服務,07-6671690,jw1041228@gmail.com,黃碧恭,20180101,20261231,20240701 11:06:16
財團法人高雄市郭吳麗珠社會福利慈善事業基金會私立燕巢社區(小規模多機能)長照機構,2S1500005,高雄市燕巢區南燕里中興路431號,小規模多機能服務,07-6169885,yan.daycare@msa.hinet.net,郭光皓,20180101,20261231,20240701 10:29:14
高雄市私立溫馨屋社區式(家庭托顧)服務類長期照顧服務機構,2X1500006,高雄市燕巢區角宿里寶頂一街47號,家庭托顧服務,07-6161076,a6161939@yahoo.com.tw,林慧美,20181121,20261231,20240703 10:18:15
高雄市私立新樂園老人長期照顧中心（養護型）,A11500012,高雄市大樹區姑山里姑山路19之2號,喘息服務,07-6565119,a36671235@gmail.com,高長億,20240701,20261231,20240627 08:39:04
社團法人台灣身心機能活化運動協會私立翠華園居家長照機構,1R1500006,高雄市左營區海勝里翠華路601巷69號2樓,居家服務,07-5884647,kinou.hcs@gmail.com,魏成安,20240701,20261231,20240625 18:31:02
社團法人高雄市不老天使守護協會附設高雄市私立福臻居家長照機構,1R1500011,高雄市前鎮區和平二路203號9樓,居家服務,07-3318813,fu.zhen1070326@gmail.com,楊映國,20210401,20221231,20210501 15:16:01
社團法人高雄市不老天使守護協會附設高雄市私立福臻居家長照機構,1R1500011,高雄市前鎮區和平二路203號9樓,居家服務,07-3318813,fu.zhen1070326@gmail.com,楊映國,20240701,20261231,20240630 15:15:14
社團法人高雄市路竹社會福利協會附設高雄市私立路協居家式服務類長期照顧服務機構,1R1500014,高雄市路竹區竹南里竹南街5號2樓,喘息服務,07-6969391,mmmmmmm98@yahoo.com.tw,曾清文,20210401,20240630,20231229 16:55:23
社團法人高雄市愛家倍照顧關懷協會附設高雄市私立愛家倍居家式服務類長期照顧服務機構,1R1500016,高雄市前鎮區盛豐里一心二路128號5樓之2,喘息服務,07-7190080,lovehome7190080@gmail.com,黃柏偉,20230101,20240630,20231229 16:54:12
財團法人高雄市崇恩社會福利慈善事業基金會附設高雄市私立敬慈居家長照機構,1S1500008,高雄市楠梓區清豐里立仁街131號3樓,喘息服務,07-3539619#25,chongen020401001@gmail.com,龔明聰,20240701,20261231,20240627 16:07:02
財團法人高雄市崇恩社會福利慈善事業基金會附設高雄市私立敬慈居家長照機構,1S1500008,高雄市楠梓區清豐里立仁街131號3樓,居家服務,07-3539619#25,chongen020401001@gmail.com,龔明聰,20210401,20240630,20231230 17:47:47
有限責任高雄市麗眾照顧服務勞動合作社私立麗眾居家長照機構,1T1500003,高雄市左營區福山里文川路311號,喘息服務,07-3508843,a826986624@gmail.com,周秀蘭,20240701,20261231,20240630 14:50:02
有限責任高雄市愛齡照護服務勞動合作社附設高雄市私立三多利居家長照機構,1T1500005,高雄市前金區文西里光明街6號4樓之1,喘息服務,07-2232207,alal2012269@gmail.com,林昌坤,20240701,20261231,20240630 14:35:07
有限責任高雄市愛齡照護服務勞動合作社附設高雄市私立三多利居家長照機構,1T1500005,高雄市前金區文西里光明街6號4樓之1,喘息服務,07-2232207,alal2012269@gmail.com,林昌坤,20230101,20240630,20231229 16:07:08
有限責任高雄市日新照顧服務勞動合作社附設高雄市私立日新居家式服務類長期照顧服務機構,1T1500007,高雄市美濃區泰安里?峰街6之3號,營養餐飲服務,07-6811377,minifang6536@yahoo.com.tw,曾溫來妹,20180101,20191231,20190417 00:00:00
有限責任高雄市高雄照顧服務勞動合作社附設高雄市私立天佑居家長照機構,1T1500009,高雄市楠梓區青田街19號,居家服務,07-3635933,khs3635933@gmail.com,鄭詠歆,20230101,20240630,20231218 14:31:09
天主教聖功醫療財團法人附設高雄市私立聖功居家式服務類長期照顧服務機構,1U1500002,高雄市苓雅區民主里建國一路352號,居家服務,07-2238153#2292,society2018@mail.joseph.org.tw,郭果七,20240701,20261231,20240630 10:44:18
財團法人高雄市私立萃文書院社會福利慈善事業基金會附設高雄市私立萃文居家式服務類長期照顧服務機構,1S1500004,高雄市內門區內豊里內埔83號,到宅沐浴車服務,07-6671006,jw970301@yahoo.com.tw,黃碧恭,20200101,20210331,20210103 13:44:45
財團法人高雄市私立萃文書院社會福利慈善事業基金會附設高雄市私立萃文居家式服務類長期照顧服務機構,1S1500004,高雄市內門區內豊里內埔83號,居家服務,07-6671006,jw970301@yahoo.com.tw,黃碧恭,20210401,20221231,20210501 16:18:50
有限責任高雄市安祥照顧服務勞動合作社附設高雄市私立安祥居家長照機構,1T1500010,高雄市鳳山區曹公路15之3號4樓,居家服務,07-7902897,caregiv.living@gmail.com,羅連春,20240701,20261231,20240625 14:47:48
圓融松柏事業有限公司附設高雄市私立圓融居家長照機構,1V1500004,高雄市鳳山區文英里文和街42號2樓,居家服務,07-7991187,yl7778685@gmail.com,顏瑞宏,20240701,20261231,20240627 11:16:52
高雄市私立健喬居家長照機構,1X1500002,高雄市大寮區會社里鳳林三路373巷8號,喘息服務,07-7827779,zxc7827779@gmail.com,呂淑卿,20230101,20240630,20231230 17:34:44
高雄市私立佳馨居家長照機構,1X1500006,高雄市苓雅區田西里成功一路232號11樓之1,居家服務,07-5369381,jiaxin5656@gmail.com,黃秀惠,20230101,20240630,20231218 16:45:32
高雄市私立佳馨居家長照機構,1X1500006,高雄市苓雅區田西里成功一路232號11樓之1,喘息服務,07-5369381,jiaxin5656@gmail.com,黃秀惠,20240701,20261231,20240626 17:29:28
保證責任高雄市高屏照顧服務勞動合作社附設高雄市私立高屏居家式服務類長期照顧服務機構,1T1500012,高雄市新興區玉衡里文橫一路17號5樓之5,居家服務,07-2011699,kp2011799@gmail.com,楊晊權,20240701,20261231,20240627 16:30:02
國軍左營總醫院附設民眾診療服務處社區長照機構,2E1500001,高雄市左營區合群里軍校路553號(11病房南棟1樓),喘息服務,07-5817121#3498,S001253@mail.ngh.com.tw,李彥儒,20240701,20261231,20240701 00:04:32
高雄市玉山社會福利關懷協會私立弘宥居家長照機構,1N1500002,高雄市左營區福山里重愛路22巷48號,居家服務,07-3106023,shan.hc3106023@gmail.com,陳旭輝,20210401,20221231,20210501 16:21:17
高雄市玉山社會福利關懷協會私立弘宥居家長照機構,1N1500002,高雄市左營區福山里重愛路22巷48號,居家服務,07-3106023,shan.hc3106023@gmail.com,陳旭輝,20240701,20261231,20240626 15:27:11
高雄市玉山社會福利關懷協會私立弘宥居家長照機構,1N1500002,高雄市左營區福山里重愛路22巷48號,居家服務,07-3106023,shan.hc3106023@gmail.com,陳旭輝,20230101,20240630,20231218 16:36:19
社團法人高雄市家庭照顧者關懷協會附設高雄市私立家關居家式服務類長期照顧服務機構,1R1500001,高雄市三民區十美里漢口街137號,居家服務,07-3223839,kh.caregiver@gmail.com,石義方,20230101,20240630,20231218 15:24:32
社團法人高雄市家庭照顧者關懷協會附設高雄市私立家關居家式服務類長期照顧服務機構,1R1500001,高雄市三民區十美里漢口街137號,居家服務,07-3223839,kh.caregiver@gmail.com,石義方,20210401,20221231,20210501 15:26:41
社團法人高雄市家庭照顧者關懷協會附設高雄市私立家關居家式服務類長期照顧服務機構,1R1500001,高雄市三民區十美里漢口街137號,喘息服務,07-3223839,kh.caregiver@gmail.com,石義方,20210401,20240630,20231229 16:38:43
社團法人台灣身心機能活化運動協會私立翠華園居家長照機構,1R1500006,高雄市左營區海勝里翠華路601巷69號2樓,喘息服務,07-5884647,kinou.hcs@gmail.com,魏成安,20210401,20240630,20231229 16:21:51
社團法人高雄市不老天使守護協會附設高雄市私立福臻居家長照機構,1R1500011,高雄市前鎮區和平二路203號9樓,喘息服務,07-3318813,fu.zhen1070326@gmail.com,楊映國,20230101,20240630,20231229 16:24:26
社團法人高雄市路竹社會福利協會附設高雄市私立路協居家式服務類長期照顧服務機構,1R1500014,高雄市路竹區竹南里竹南街5號2樓,居家服務,07-6969391,mmmmmmm98@yahoo.com.tw,曾清文,20210401,20221231,20210501 15:28:59
社團法人高雄市愛家倍照顧關懷協會附設高雄市私立愛家倍居家式服務類長期照顧服務機構,1R1500016,高雄市前鎮區盛豐里一心二路128號5樓之2,喘息服務,07-7190080,lovehome7190080@gmail.com,黃柏偉,20240701,20261231,20240626 09:01:27
有限責任高雄市愛齡照護服務勞動合作社附設高雄市私立三多利居家長照機構,1T1500005,高雄市前金區文西里光明街6號4樓之1,居家服務,07-2232207,alal2012269@gmail.com,林昌坤,20240701,20261231,20240630 14:34:21
有限責任高雄市日新照顧服務勞動合作社附設高雄市私立日新居家式服務類長期照顧服務機構,1T1500007,高雄市美濃區泰安里?峰街6之3號,喘息服務,07-6811377,minifang6536@yahoo.com.tw,曾溫來妹,20240701,20261231,20240625 14:43:52
社團法人台灣高齡照顧協會附設高雄市私立台灣高齡社區式服務類長期照顧服務機構,2R1500005,高雄市鳳山區中山西路127號,日間照顧服務,07-7108357,dc.s3699@msa.hinet.net,劉庭軒,20240701,20261231,20240701 00:32:38
社團法人台灣高齡照顧協會私立大寮社區(日間照顧)長照機構,2R1500007,高雄市大寮區中庄里光明路三段1257巷51號2樓,喘息服務,07-7012265,dl.daycare@msa.hinet.net,劉庭軒,20190101,20240630,20231230 20:38:20
社團法人台灣高齡照顧協會私立大寮社區(日間照顧)長照機構,2R1500007,高雄市大寮區中庄里光明路三段1257巷51號2樓,日間照顧服務,07-7012265,dl.daycare@msa.hinet.net,劉庭軒,20190101,20240630,20231230 20:38:20
天主教聖功醫療財團法人附設高雄市私立聖功居家式服務類長期照顧服務機構,1U1500002,高雄市苓雅區民主里建國一路352號,居家服務,07-2238153#2292,society2018@mail.joseph.org.tw,郭果七,20210401,20221231,20210501 14:18:07
高雄市私立旭安居家式服務類長期照顧服務機構,1X1500004,高雄市岡山區大遼里中山南路268號1樓,居家服務,07-6258009,gsg@zhco.com.tw,邱秀慧,20210401,20221231,20210501 16:46:13
高雄市私立聯合居家式服務類長期照顧服務機構,1X1500007,高雄市楠梓區清豐里旗楠路142號,居家服務,07-3521738,kltc1966@gmail.com,廖魁隆,20230101,20240630,20231219 10:53:34
高雄市私立聯合居家式服務類長期照顧服務機構,1X1500007,高雄市楠梓區清豐里旗楠路142號,喘息服務,07-3521738,kltc1966@gmail.com,廖魁隆,20210401,20240630,20231230 17:37:19
社團法人台灣身心機能活化運動協會私立翠華園社區(日間照顧)長照機構,2R1500004,高雄市左營區海勝里翠華路601巷67號,日間照顧服務,07-5828511,silver.home@msa.hinet.net,魏成安,20180101,20240630,20240202 13:56:27
社團法人台灣身心機能活化運動協會私立翠華園社區(日間照顧)長照機構,2R1500004,高雄市左營區海勝里翠華路601巷67號,喘息服務,07-5828511,silver.home@msa.hinet.net,魏成安,20240701,20261231,20240702 00:24:49
社團法人台灣身心機能活化運動協會私立翠華園社區(日間照顧)長照機構,2R1500004,高雄市左營區海勝里翠華路601巷67號,日間照顧服務,07-5828511,silver.home@msa.hinet.net,魏成安,20240701,20260731,20240702 15:28:00
社團法人台灣身心機能活化運動協會私立翠華園社區(日間照顧)長照機構,2R1500004,高雄市左營區海勝里翠華路601巷67號,社區式交通接送服務(BD03),07-5828511,silver.home@msa.hinet.net,魏成安,20240701,20260731,20240702 15:28:51
高雄市玉山社會福利關懷協會私立弘宥居家長照機構,1N1500002,高雄市左營區福山里重愛路22巷48號,喘息服務,07-3106023,shan.hc3106023@gmail.com,陳旭輝,20240701,20261231,20240626 15:28:30
社團法人高雄市家庭照顧者關懷協會附設高雄市私立家關居家式服務類長期照顧服務機構,1R1500001,高雄市三民區十美里漢口街137號,喘息服務,07-3223839,kh.caregiver@gmail.com,石義方,20240701,20261231,20240630 15:23:04
社團法人高雄市家庭照顧者關懷協會附設高雄市私立家關居家式服務類長期照顧服務機構,1R1500001,高雄市三民區十美里漢口街137號,營養餐飲服務,07-3223839,kh.caregiver@gmail.com,石義方,20200901,20211231,20201231 10:33:30
社團法人高雄市受恩社區關懷協會私立受恩居家長照機構,1N1500005,高雄市三民區鼎金里明誠一路20號,喘息服務,07-3109382,ya.lin@stipendiary.tw,劉庭軒,20210401,20240630,20231229 16:38:18
社團法人高雄市受恩社區關懷協會私立受恩居家長照機構,1N1500005,高雄市三民區鼎金里明誠一路20號,居家服務,07-3109382,ya.lin@stipendiary.tw,劉庭軒,20210401,20221231,20210501 15:26:26
社團法人高雄市受恩社區關懷協會私立受恩居家長照機構,1N1500005,高雄市三民區鼎金里明誠一路20號,喘息服務,07-3109382,ya.lin@stipendiary.tw,劉庭軒,20240701,20261231,20240630 15:21:36
社團法人台灣身心機能活化運動協會私立翠華園居家長照機構,1R1500006,高雄市左營區海勝里翠華路601巷69號2樓,居家服務,07-5884647,kinou.hcs@gmail.com,魏成安,20210401,20221231,20210501 15:12:02
社團法人高雄市不老天使守護協會附設高雄市私立福臻居家長照機構,1R1500011,高雄市前鎮區和平二路203號9樓,居家服務,07-3318813,fu.zhen1070326@gmail.com,楊映國,20230101,20240630,20231218 14:49:59
社團法人高雄市路竹社會福利協會附設高雄市私立路協居家式服務類長期照顧服務機構,1R1500014,高雄市路竹區竹南里竹南街5號2樓,居家服務,07-6969391,mmmmmmm98@yahoo.com.tw,曾清文,20240701,20261231,20240626 09:41:17
財團法人高雄市崇恩社會福利慈善事業基金會附設高雄市私立敬慈居家長照機構,1S1500008,高雄市楠梓區清豐里立仁街131號3樓,居家服務,07-3539619#25,chongen020401001@gmail.com,龔明聰,20230101,20240630,20231219 10:45:03
有限責任高雄市麗眾照顧服務勞動合作社私立麗眾居家長照機構,1T1500003,高雄市左營區福山里文川路311號,喘息服務,07-3508843,a826986624@gmail.com,周秀蘭,20210401,20240630,20231229 16:10:36
有限責任高雄市愛齡照護服務勞動合作社附設高雄市私立三多利居家長照機構,1T1500005,高雄市前金區文西里光明街6號4樓之1,居家服務,07-2232207,alal2012269@gmail.com,林昌坤,20210401,20221231,20210501 15:00:04
社團法人高雄市八方義行團關懷協會私立八方居家長照機構,1N1500004,高雄市鳳山區東門里中山東路58巷32號,喘息服務,07-7190805,nurseaide107@gmail.com,陳虹秀,20180413,20210331,20210403 14:20:39
社團法人高雄市照顧服務人力協會附設高雄市私立華登人力居家式服務類長期照顧服務機構,1R1500013,高雄市新興區明莊里六合二路1號,居家服務,07-2860023,kcsha111@gmail.com,張儀楹,20240701,20261231,20240627 16:01:14
財團法人高雄市私立萃文書院社會福利慈善事業基金會附設高雄市私立萃文居家式服務類長期照顧服務機構,1S1500004,高雄市內門區內豊里內埔83號,居家服務,07-6671006,jw970301@yahoo.com.tw,黃碧恭,20230101,20240630,20231218 16:29:31
有限責任高雄市樹子照顧服務勞動合作社私立樹子居家長照機構,1T1500008,高雄市新興區振華里中山二路472號10樓之7,居家服務,07-2818800,treeseeda2@gmail.com,王炳宇,20230101,20240630,20231218 14:34:56
有限責任高雄市安祥照顧服務勞動合作社附設高雄市私立安祥居家長照機構,1T1500010,高雄市鳳山區曹公路15之3號4樓,營養餐飲服務,07-7902897,caregiv.living@gmail.com,羅連春,20200101,20211231,20201231 10:17:35
圓融松柏事業有限公司附設高雄市私立圓融居家長照機構,1V1500004,高雄市鳳山區文英里文和街42號2樓,居家服務,07-7991187,yl7778685@gmail.com,顏瑞宏,20230101,20240630,20231219 10:18:04
圓融松柏事業有限公司附設高雄市私立圓融居家長照機構,1V1500004,高雄市鳳山區文英里文和街42號2樓,喘息服務,07-7991187,yl7778685@gmail.com,顏瑞宏,20230101,20240630,20231230 17:14:59
圓融松柏事業有限公司附設高雄市私立圓融居家長照機構,1V1500004,高雄市鳳山區文英里文和街42號2樓,喘息服務,07-7991187,yl7778685@gmail.com,顏瑞宏,20240701,20261231,20240627 11:16:52
高雄市私立健喬居家長照機構,1X1500002,高雄市大寮區會社里鳳林三路373巷8號,居家服務,07-7827779,zxc7827779@gmail.com,呂淑卿,20240701,20261231,20240627 13:39:18
高雄市私立臨海居家式服務類長期照顧服務機構,1X1500003,高雄市小港區山明里宏光街522號,居家服務,07-8010408#103,linhaihomecare@gmail.com,邱裕恩,20230101,20240630,20231219 10:09:15
高雄市私立佳馨居家長照機構,1X1500006,高雄市苓雅區田西里成功一路232號11樓之1,喘息服務,07-5369381,jiaxin5656@gmail.com,黃秀惠,20230101,20240630,20231230 16:18:00
高雄市同愛社會福利關懷協會附設高雄市私立同愛居家式服務類長期照顧服務機構,1N1500001,高雄市新興區復橫一路242號2樓,喘息服務,07-2155211,3800951@gmail.com,覃馨儀,20240701,20261231,20240626 15:31:51
